Country,Policy,Year,Biomass,Catch,Profits,MSY
Country A,Business As Usual,2013,12113094.111205181,1115728.7815386592,1023774802.738059,1620756.3508392859
Country A,Business As Usual,2014,11987599.271125145,481308.32595767215,506382773.40630275,1620756.3508392859
Country A,Business As Usual,2015,12606503.168497508,565616.742887776,553187851.1934794,1620756.3508392859
Country A,Business As Usual,2016,13175113.214823136,691646.9459397632,643941571.8939023,1620756.3508392859
Country A,Business As Usual,2017,13631019.23466876,844313.3313592508,774587760.610875,1620756.3508392859
Country A,Business As Usual,2018,13932633.36582889,1043300.7786017556,941932214.8474913,1620756.3508392859
Country A,Business As Usual,2019,14015810.379299182,1120397.5866130341,1001364378.5331627,1620756.3508392859
Country A,Business As Usual,2020,14013113.085098915,1121143.9385864958,980640480.7809616,1620756.3508392859
Country A,Business As Usual,2021,14007158.230927348,1114691.9026348353,970977048.247873,1620756.3508392859
Country A,Business As Usual,2022,14003221.712352749,1108500.9757100546,954233148.2635702,1620756.3508392859
Country A,Business As Usual,2023,14000576.623598384,1102858.1350117526,946919678.2144289,1620756.3508392859
Country A,Business As Usual,2024,14007311.450373631,1096968.1521380115,936657033.3314384,1620756.3508392859
Country A,Business As Usual,2025,14022483.73050581,1091259.5512917938,938965916.1571648,1620756.3508392859
Country A,Business As Usual,2026,14040067.531101009,1086434.2911760756,935622227.3512294,1620756.3508392859
Country A,Business As Usual,2027,14067492.991892697,1082234.5152765561,939667905.0128261,1620756.3508392859
Country A,Business As Usual,2028,14102221.23553304,1078668.4678099642,938235670.0848318,1620756.3508392859
Country A,Business As Usual,2029,14143141.402745953,1074978.347822997,942316609.0699168,1620756.3508392859
Country A,Business As Usual,2030,14186424.552476011,1071636.498208374,942014054.970113,1620756.3508392859
Country A,Business As Usual,2031,14232150.640625788,1069091.099182188,946401583.2404449,1620756.3508392859
Country A,Business As Usual,2032,14280970.651844444,1066501.4550720742,947483920.1615024,1620756.3508392859
Country A,Business As Usual,2033,14337017.958955154,1064004.5353409408,954577824.8637388,1620756.3508392859
Country A,Business As Usual,2034,14399254.48641439,1061815.7616623358,959048424.0248672,1620756.3508392859
Country A,Business As Usual,2035,14466698.894323524,1059838.5103514048,967390538.2788416,1620756.3508392859
Country A,Business As Usual,2036,14537152.06372775,1058161.08852355,972704399.1159426,1620756.3508392859
Country A,Business As Usual,2037,14612030.657446636,1057083.0329490511,980617056.0284805,1620756.3508392859
