Country,Policy,Year,Biomass,Catch,Profits
Argentina,Business As Usual,2013,4444010.2155031385,789271.4111930238,715922905.2609872
Argentina,Business As Usual,2014,4408816.473995454,157490.54452238267,157429473.01813465
Argentina,Business As Usual,2015,5124689.044361379,251002.71022875473,251769627.64302307
Argentina,Business As Usual,2016,5790511.148115387,385878.45951509726,386645192.8799983
Argentina,Business As Usual,2017,6339952.693539682,547142.013983642,551504619.1076225
Argentina,Business As Usual,2018,6724622.209698805,754480.7384952125,755540231.3865219
Argentina,Business As Usual,2019,6882287.806375039,838769.0394191776,840767224.4071096
Argentina,Business As Usual,2020,6944856.233893381,845727.3925390508,842956301.1140385
Argentina,Business As Usual,2021,6998772.272031773,846224.0830413724,848498411.7723926
Argentina,Business As Usual,2022,7052859.481795965,846415.6887506515,847004323.4020206
Argentina,Business As Usual,2023,7108465.93427807,846540.5978419208,850322474.9251729
Argentina,Business As Usual,2024,7166212.504452412,846594.2844648496,850540088.4880606
Argentina,Business As Usual,2025,7226463.745079653,846625.6903969535,858141933.2403656
Argentina,Business As Usual,2026,7289384.628227435,846641.1579786796,860235356.4453435
Argentina,Business As Usual,2027,7355048.252439863,846651.5510671941,866702815.8711268
Argentina,Business As Usual,2028,7423464.289261148,846663.2174085621,867753715.6248666
Argentina,Business As Usual,2029,7494601.775712857,846674.1765290372,871980349.0428517
Argentina,Business As Usual,2030,7568407.068713473,846685.4184878316,872469168.5659977
Argentina,Business As Usual,2031,7644806.558007416,846758.8351259512,876099225.4442196
Argentina,Business As Usual,2032,7723648.977842407,846844.5508220807,876720772.3557974
Argentina,Business As Usual,2033,7804817.448717831,846947.4117363865,881497365.2425611
Argentina,Business As Usual,2034,7888178.14892687,847243.8233159797,883953021.6608523
Argentina,Business As Usual,2035,7973410.000172565,847579.2767538468,889082697.5828018
Argentina,Business As Usual,2036,8060332.875642476,848055.8972358514,891833773.8039743
Argentina,Business As Usual,2037,8148656.83691362,848851.5770941279,896682583.924207
Argentina,Business As Usual,2038,8237905.9142117435,849729.8074575935,900802503.1860349
Argentina,Business As Usual,2039,8327831.80645528,851060.8973079154,905707497.8697653
Argentina,Business As Usual,2040,8417814.0093032,852698.6745406643,908830282.2011846
Argentina,Business As Usual,2041,8507373.27720559,854508.601614621,913150107.2651939
Argentina,Business As Usual,2042,8596165.760565786,857116.3930718502,916209244.2554208
Argentina,Business As Usual,2043,8683226.860179625,859852.5042407613,918928181.4585602
Argentina,Business As Usual,2044,8768263.63396867,863035.3328391976,919495817.3216774
Argentina,Business As Usual,2045,8850676.181499854,866797.3138793106,920750786.5264133
Argentina,Business As Usual,2046,8929743.045849117,870608.7519543997,921667801.6520894
Argentina,Business As Usual,2047,9005285.33031561,874868.4204296183,923144674.703874
Argentina,Business As Usual,2048,9076741.696778683,879482.0011708916,923701214.1226425
Argentina,Business As Usual,2049,9143660.74420716,883988.8478687347,923761260.3169774
Argentina,Business As Usual,2050,9206068.396161785,888438.1178628014,924431393.173181
Argentina,Fmsy,2013,4444010.2155031385,1379748.1104132491,672156477.298967
Argentina,Fmsy,2014,3818339.7747752285,1142528.715951663,597774374.3985794
Argentina,Fmsy,2015,3702159.443773478,1092403.2218009487,580068449.4400795
Argentina,Fmsy,2016,3737026.699839863,1093879.055000402,602972104.8940212
Argentina,Fmsy,2017,3834093.8616001797,1115702.4040149034,643206368.8483858
Argentina,Fmsy,2018,3953020.7045869334,1144471.6958174317,686980742.4570117
Argentina,Fmsy,2019,4073008.376876164,1173572.1603093033,727866206.7540556
Argentina,Fmsy,2020,4183787.6077285185,1199838.4514675261,762879535.0480357
Argentina,Fmsy,2021,4281309.550650962,1222049.4196116335,790519494.0090544
Argentina,Fmsy,2022,4365098.51546038,1240064.5666005376,807809617.8928242
Argentina,Fmsy,2023,4436509.151253528,1254284.9466982621,812669659.8629112
Argentina,Fmsy,2024,4497625.864725764,1265324.1747386581,817264478.4789373
Argentina,Fmsy,2025,4550631.919260629,1273823.7941388874,827530157.1415533
Argentina,Fmsy,2026,4597496.862170993,1280363.0900641622,832887924.9672098
Argentina,Fmsy,2027,4639858.35223542,1285425.436685179,837530446.3113996
Argentina,Fmsy,2028,4679009.485482009,1289394.9493599941,839556051.2849703
Argentina,Fmsy,2029,4715935.132702918,1292567.085862554,841083706.5298654
Argentina,Fmsy,2030,4751365.129805168,1295163.9846997345,841133497.0327406
Argentina,Fmsy,2031,4785828.011809239,1297349.9022373788,841199380.535133
Argentina,Fmsy,2032,4819698.254790135,1299244.7609267377,840348419.1114511
Argentina,Fmsy,2033,4853234.915869183,1300935.2204890382,839375510.4211488
Argentina,Fmsy,2034,4886611.903589623,1302483.3463949289,837966574.0198512
Argentina,Fmsy,2035,4919941.043707108,1303933.2123638913,836521328.6939067
Argentina,Fmsy,2036,4953289.33191548,1305315.8362444388,834861974.5288559
Argentina,Fmsy,2037,4986691.67516967,1306652.8220774645,833262922.2347127
Argentina,Fmsy,2038,5020160.218578195,1307959.0223742852,831543755.6187669
Argentina,Fmsy,2039,5053691.131454882,1309244.4707806797,829858938.4013065
Argentina,Fmsy,2040,5087269.524633184,1310515.777770637,828356717.9490066
Argentina,Fmsy,2041,5120873.004620271,1311777.1344739122,826783460.6436225
Argentina,Fmsy,2042,5154474.239097739,1313031.0323047708,825192063.8527642
Argentina,Fmsy,2043,5188042.808185759,1314278.777443131,823703940.3410134
Argentina,Fmsy,2044,5221546.54096465,1315520.857768511,822260906.7505411
Argentina,Fmsy,2045,5254952.481430908,1316757.203980738,820886775.1734387
Argentina,Fmsy,2046,5288227.587623881,1317987.3750154276,819535555.8504931
Argentina,Fmsy,2047,5321339.238309629,1319210.689401431,818217281.128729
